毖	bb6
菱	vi8y
夌	vi8H
鲮	vi8B
棱	vi8c
祾	vi8u
绫	vi8a
凌	vi8E
婈	vi8A
掕	vi88
陵	vi81
永	vi3
韫	vi3p
榅	vi3c
蕴	vi3ay
愠	vi3Y
氲	vi36
离	viV
醴	viV4
礼	viVu
澧	viVE
惫	Fbe
闷	Fm8
愍	Fmi8
忘	FwiT
忑	Fxa
勰	FxY
想	FxT
愿	Fyu2
恿	Fyu3
您	Fnu8
悊	Fzue
怎	Fza
忠	Fz3
愁	FDu6
惷	FDu8
匆	FDu3
怱	FDu3
悤	FDu3H
怂	FD3
愬	Fsuo
怸	FsA
愗	FrmiY
恕	FrA
忐	FrT
忍	Fr8
憙	FHo
恏	FHL
惪	FH6
慙	FH2
應	FH3
懿	FNV
忌	FNia
塨	Fdgi3
悐	Fdis
憩	Ft1
态	FtiY
怘	FgA
恭	Fgi3
叅	Fk2
恐	Fki3
慜	Fhu2
惑	Fhio
愆	F4u2
愈	F7o
忒	F7e
愚	F7ia
悹	FBi2
忿	Ff8
叙	Fa
鮙	Fan
羽	FaH
栩	Fac
祤	Fau
诩	Fai
需	Fo
昫	Fob
煦	Fobx
旭	Foh
竘	Fof
呴	Foo
喣	Foox
朐	Foe
姁	FoA
电	Fe
碍	Fes
锝	FeN
德	FeF
棏	Fec
嘚	Feo
淂	FeE
得	FeV
曲	FE
敌	FEr
啇	FEH
镝	FEN
嘀	FEo
滴	FEE
嫡	FEA
玉	FY
特	FYg
等	FY2
待	FYV
岛	FL
菿	FLy
到	FLH
椡	FLc
捯	FL8
倒	FLV
囚	F6
暏	F6b
帾	F6p
覩	F6j
赌	F6x
堵	F6d
嘟	F6o
睹	F6T
琽	F63
都	F61
段	F2
断	F2j
毈	F2q
继	F2a
簖	F22
取	FT
鋽	FTN
竨	FTf
悼	FTY
掉	FT8
敦	F8
遁	F8z
踲	F8D
碷	F8s
盾	F8H
楯	F8c
腯	F8e
揗	F88
钦	F3
轻	F3q
氢	F36
队	FV
凖	FVx
蓷	FVy
碓	FVs
堆	FVd
准	FVE
推	FV8
许	Fia
艰	Fia2
眼	FiaT
限	Fia1
嶞	Fiow
椭	Fioc
媠	FioA
惰	FioY
墯	FioYd
堕	Fio1
殿	Fie
啖	Fieo
淡	FieE
惔	FieY
氮	Fie6
戴	FiY
帎	FiYp
瓭	FiY7
妉	FiYA
耽	FiYT
抌	FiY8
吊	FiL
帱	FiLp
嶹	FiLw
焘	FiLx
翿	FiLn
壔	FiLd
梼	FiLc
祷	FiLu
涛	FiLE
区	Fi6
走	Fi6H
鯐	Fi6B
唗	Fi6o
陡	Fi6V
徒	Fi6V
典	Fi2
耑	Fi2H
剬	Fi2l
端	Fi2f
媏	Fi2A
瑞	Fi23
偳	Fi2V
丈	FiT
氎	FiTj
叠	FiTH
疊	FiT4
亲	Fi8
囤	Fi8m
炖	Fi8x
砘	Fi8s
顿	Fi8r
钝	Fi8N
坉	Fi8d
庉	Fi85
吨	Fi8o
噸	Fi8or
沌	Fi8E
忳	Fi8Y
盹	Fi8T
伅	Fi8V
秦	Fi3
撀	Fi3j
磬	Fi3s
殸	Fi3H
馨	Fi3h
罄	Fi37
声	Fi3T
謦	Fi3i
却	FiV
迪	FiVz
廸	FiVzH
笛	FiV2
牑	7bi2
耪	7pT
甏	7p8
耗	7mL
瓮	7w3
矮	7wV
耘	7yu8
罇	7zu8
战	7z2
殺	7sa
甂	7Hbi2
罂	7Hu3
瓷	7HuV
耔	7HL
耕	7N8
弌	7NV
榘	7NiA
耧	7l6
甊	7l6
瓴	7li8
罍	7liV
幹	7gi2
叁	7k2
耜	74uV
贰	742
斧	74iA
矩	75V
斜	77io
觥	7BT
触	7ci3
旊	7foV
瓬	7fT
与	7a
阈	7am
域	7ad
彧	7aa
惐	7aY
俞	7o
预	7oH
滪	7oE
弋	7e
晪	7eb
唺	7eo
腆	7ee
淟	7eE
琠	7e3
倎	7eV
疐	7E
蹄	7ED
啼	7Eo
狱	7Y
碳	7Ys
炭	7YH
羰	7Yg
湠	7YE
予	7L
鞉	7Lx
逃	7Lz
桃	7Lc
咷	7Lo
洮	7LE
幼	76
遊	76z
斿	76H
游	76E
覃	72
钽	72N
坦	72d
袒	72u
鱼	7T
萸	7Ty
臾	7TH
庾	7T5
腴	7Te
谀	7Ti
屯	78
茕	78y
迅	78z
卂	78H
汛	78E
讯	78i
音	73
龈	73j
银	73N
垠	73d
退	7V
圄	7Vm
娪	7VA
语	7Vi
禺	7ia
塔	7iad
榙	7iac
嗒	7iao
溚	7iaE
余	7io
虞	7iov
娱	7ioA
俣	7ioV
者	7ie
阗	7iem
填	7ied
寘	7ief
搷	7ie8
瑱	7ie3
言	7iY
迎	7iYz
抑	7iY8
於	7iL
岧	7iLw
岹	7iLwH
苕	7iLy
迢	7iLz
祒	7iLu
笤	7iL2
萔	7iL8
右	7i6
赳	7i6D
收	7i6r
丩	7i6H
朻	7i6c
纠	7i6a
叫	7i6o
员	7i2
罙	7i2H
深	7i2E
探	7i28
琛	7i23
育	7iT
幢	7iTp
撞	7iT8
僮	7iTV
殷	7i8
金	7i8H
吟	7i8o
唫	7i8oH
凎	7i8E
鑫	7i83
动	7i3
甄	7i37
籈	7i32
鄄	7i31
彦	7iV
凼	7iVm
水	7iVH
氹	7iVl
冰	7iVE
鲍	BbL
鲅	Bbia
鳊	Bbi2
鮩	Bbi3
魸	Bpie
鳗	Bm2
鲛	BjL
鳅	Bqu6
鲭	Bq8
鳕	Bxue
鮴	Bx6
鯹	Bx8
鱿	By6
鲶	Bnu2
鳟	Bzu8
鱒	Bzu8
鲊	Bza
䲠	BDu8
鲳	BDT
鲫	BNiY
鲸	BNi3
鱳	Ble
鲤	BlE
鮱	BlL
鲧	Blia
鲢	Bli2
鮗	Bdi3
鲠	Bgi8
鲓	BkL
鱇	BkiT
鮜	Bh6
鯸	Bhi6
鳄	B4o
鲟	B5i8
鲈	Bva
鳓	Bve
鲀	B78
鲑	BBV
鮬	Bca
鲲	Bc8
鳝	Bci2
鲂	BfT
鲱	BfV
瓜	Ba
鸹	Ban
刮	Bal
栝	Bac
聒	BaT
括	Ba8
畜	Bo
曰	BoH
汩	BoE
革	Be
鬲	BeH
镉	BeN
塥	Bed
嗝	Beo
膈	Bee
隔	Be1
辨	BEl
瓣	BEh
辮	BEu
辫	BEa
辩	BEi
圣	BY
朁	BYH
蚕	BYk
蠶	BYk
憯	BYY
僭	BYV
造	BL
超	BLD
欩	BLr
怊	BLY
眧	BLT
足	B6
贱	B6H
溅	B6E
贯	B2
鹳	B2n
覌	B2r
罐	B27
灌	B2E
懽	B2Y
光	BT
氅	BTj
敞	BTr
厂	BT5
厰	BT5
裳	BTu
倘	BTV
僘	BTVr
徜	BTVV
呈	B8
蓘	B8y
磙	B8s
衮	B8H
滚	B8E
纯	B3
鹑	B3n
享	B3H
錞	B3N
醇	B34
淳	B3E
圭	BV
跪	BVD
佹	BVV
诡	BVi
卦	Bia
煱	Biax
剐	Bial
冎	Biaf
緺	Biaa
除	Bio
躇	BioD
楮	Bioc
褚	Biou
储	BioV
孱	Bie
幨	Biep
赡	Biex
蟾	Biek
檐	Biec
澹	BieE
儋	BieV
另	BiY
阄	BiYm
龟	BiYH
助	BiL
雏	BiLn
趋	BiLD
刍	BiLH
楚	Bi6
殂	Bi6t
粗	Bi6h
麆	Bi6v
徂	Bi6V
官	Bi2
鳏	Bi2B
嚃	Bi2o
常	BiT
苌	BiTy
长	BiTH
鋹	BiTN
怅	BiTY
掁	BiT8
伥	BiTV
辰	Bi8
辊	Bi8q
棍	Bi8c
緄	Bi8a
惃	Bi8Y
丞	Bi3
崇	Bi3w
崈	Bi3wH
淙	Bi3E
漴	Bi3EH
婃	Bi3A
悰	Bi3Y
琮	Bi33
孮	Bi3V
徖	Bi3VV
贵	BiV
鬼	BiVH
垝	BiVd
廆	BiV5
槐	BiVc
姽	BiVA
瑰	BiV3
傀	BiVV
杯	cbA
柏	cbY
梆	cbT
柨	cb3
椑	cbV
栢	cbiY
柈	cbiT
槟	cbi8
栟	cbi3
柸	cpE
業	cp6
棚	cp3
朴	cpiA
楄	cpi2
枰	cpi8
榧	cmfV
模	cmo
棉	cme
枆	cmL
桙	cm6
槾	cm2
檬	cm3
梅	cmV
柕	cmiY
橗	cmi3
楣	cmiV
梶	cwe
枉	cwT
楃	cwio
梧	cwi6
楗	cjuY
櫵	cjuL
朹	cju6
桾	cju8
匠	cju3
架	cja
枷	cja
栉	cjo
机	cjE
椐	cjA
校	cjL
柩	cj6
桨	cjT
棨	cqua
楾	cquo
桥	cquL
楸	cqu6
棋	cqE
椄	cqY
楔	cqV
橇	cqiL
樰	cxue
楦	cxu2
橡	cxuT
桠	cyua
枂	cyue
柚	cyu6
样	cyuT
棪	cyuV
杅	cyA
楒	cnua
檼	cnuo
櫱	cnue
栭	cnuY
枭	cnuL
樢	cnuL
梛	cna
櫌	cn6
楠	cn2
欜	cnT
柠	cn8
桖	cnV
枛	czua
桩	czuT
樽	czu8
椊	czuV
柞	cza
桌	czo
棹	czo
樍	cze
枳	czE
株	czA
樶	czV
楂	cDua
椿	cDu8
樬	cDu3
檫	cDa
槎	cDo
材	cDY
槽	cDL
檮	cD6
枞	cD3
棰	cDV
橵	csua
槊	csuo
杓	csuL
槂	csu8
樧	csa
槡	csT
柛	cs8
橪	cru2
橍	cruV
栮	cre
杳	crE
榕	cr3
枘	crV
梹	cHbi8
桉	cHNi2
枝	cHua
樱	cHu3
栨	cHuV
椥	cHa
柌	cHo
柶	cHe
桎	cHY
杍	cHL
植	cH6
柴	cHV
极	cNa
桷	cNe
枸	cNA
械	cN2
案	cNi2
集	cla
椤	clo
椂	clA
梾	clY
楼	cl6
栏	cl2
榔	clT
檩	cl8
楞	cl8
栊	cl3
檑	clV
櫴	cliY
榴	cli6
柃	cli8
櫐	cliV
堏	cdfT
柋	cdY
朷	cdL
枓	cd6
档	cdT
橙	cd8
櫈	cd8n
栋	cd3
櫂	cd1
梪	cdi6
柢	cdiT
柝	cto
梯	ctE
枱	ctY
槄	ctL
樘	ctT
桐	ct3
橼	ctV
樤	ctiL
榶	ctiT
梃	cti8
橦	cti3
棝	cga
橭	cgA
概	cgY
槩	cgYH
槁	cgL
槀	cgLH
构	cg6
柑	cg2
㭎	cgT
根	cg8
格	cgie
枸	cgi6
杆	cgi2
梗	cgi8
栱	cgi3
柱	cka
栲	ckL
匟	ckT
椌	ck3
柯	ckie
椱	ckiY
椹	cki2
槺	ckiT
樎	ckiV
榀	chu8
栰	cha
槲	chA
檺	chL
桁	chT
梒	chi2
桧	chiV
極	c4uE
栫	c4u8
桴	c4iT
棴	c4iV
栖	c5a
樨	c56
杺	c53
栌	cva
榄	cv2
樃	cvT
梨	cvV
櫖	cvia
麓	cvio
枥	cvi6
棂	cvi8
栐	cvi3
椴	cF2
橔	cF8
枢	cFi6
杖	cFiT
榆	c7o
柽	cBY
桄	cBT
桂	cBV
柺	cBiY
棺	cBi2
桭	cBi8
懋	ccmiY
桍	cca
櫯	cco
椒	ccL
橚	cc6
框	ccT
逵	ccV
榡	cci6
桢	cci8
桦	cfa
椷	cf6
枋	cfT
枌	cf8
梤	cf8w
枫	cf3
椛	cfia
槵	cfi6
橎	cfi2
楻	cfiT
棔	cfi8
棒	cfi3
夸	ca
峡	caw
硖	cas
狭	cav
傄	caT
侠	caV
黍	co
磕	cos
榼	coc
嗑	coo
科	ce
髂	cej
额	cer
愙	ceF
客	cef
咯	ceo
恪	ceY
愘	ceYf
揢	ce8
兮	cE
巙	cEw
夔	cEH
会	cY
块	cYd
快	cYY
筷	cY2
叔	cL
蔬	cLy
疏	cL4
梳	cLc
肃	c6
蔌	c6y
遬	c6z
欶	c6H
樕	c6c
嗽	c6o
漱	c6E
嫩	c6A
簌	c62
宽	c2
欵	c2r
窽	c2rf
款	c2H
窾	c2f
匡	cT
逛	cTz
狂	cTH
俇	cTV
诳	cTi
昆	c8
阃	c8m
困	c8H
梱	c8c
綑	c8a
涃	c8E
悃	c8Y
睏	c8T
捆	c88
乘	c3
毺	c3j
输	c3q
俞	c3H
奎	cV
魁	cVf
愧	cVY
傀	cVV
隗	cV1
族	cia
爼	ciax
租	ciah
蒩	ciahy
柤	ciac
祖	ciau
组	ciaa
唨	ciao1
菹	ciaEy
怚	ciaY
珇	cia3
俎	ciaV
阻	cia1
诅	ciai
粟	cio
暑	ciob
曙	ciob4
薯	cioy
署	cio4
濖	cioEb
扇	cie
钐	cieN
杉	ciec
彬	ciecc
衫	cieu
聿	ciY
昪	ciYb
峅	ciYw
弁	ciYH
匥	ciYc
弃	ciYf
孰	ciL
耀	ciLb
曜	ciLbH
燿	ciLx
矅	ciLT
素	ci6
阙	ci6m
逆	ci6z
善	ci2
颤	ci2r
亶	ci2H
檀	ci2c
膻	ci2e
澶	ci2E
嬗	ci2A
擅	ci28
儃	ci2V
广	ciT
熵	ciTx
蔏	ciTy
商	ciTH
墒	ciTd
螪	ciTk
滳	ciTE
贞	ci8
臣	ci8H
卧	ci8l
弫	ci8lH
栕	ci8c
宦	ci8f
绳	ci8a
挋	ci88
渑	ci83E
虫	ci3
蝇	ci3k
癸	ciV
匮	ciVm
櫆	ciVc
䙡	ciVu
溃	ciVE
媿	ciVA
愦	ciVY
馈	ciVL
篑	ciV2
聩	ciVT
尀	fpo
寞	fmo
冞	fmE
旄	fmL
宋	fmiA
窌	fmiT
寤	fwi6
窟	fjuo
究	fju6
窘	fju8
奖	fjT
觉	fjV
窃	fqe
旗	fqE
窍	fqL
宯	fxuL
冩	fxo
宵	fxL
宪	fx2
廂	fxT
茡	fyHL
壸	fyua
肾	fyue
穿	fya
宇	fyA
牢	fnu6
廝	fnuT
旎	fnE
宱	fza
站	fz2
寀	fDuY
窜	fDu2
窗	fDu3
宬	fD8
旌	fsu3
寔	fsE
竦	fs3
邃	fsV
射	frue
掌	fruT
竑	fHh3
夲	fHuo
室	fHY
字	fHL
宑	fN8
壹	fNV
寠	fl6
索	flia
冧	fli8
窿	fli3
堃	fdfT
夺	fda
竳	fd8
毒	fdiA
奃	fdiT
套	ftuL
旃	fte
实	ft6
冤	ftiA
窱	ftiL
窖	fgiL
宔	fka
尅	fke
斟	fki2
宏	fh3
宖	fhi3
穸	f5ia
奕	f5iL
兖	fv3
帘	fvi2
宝	fFY
奠	fFi2
鲎	f7T
窨	f73
寓	f7ia
宸	fBi8
旝	fcY
寂	fcL
寭	ffe
竕	ff8
旙	ffi2
卉	fuV
华	fa
画	faH
劃	fal
婳	faA
互	fo
阖	fom
熆	fox
盖	foy
惠	fe
犯	fev
范	feEy
笵	fe2
肥	fE
熯	fEx
汉	fEE
漢	fEE
叹	fET
傼	fEV
负	fA
帗	fAp
坏	fAd
柭	fAc
祓	fAu
紱	fAa
冹	fAE
奂	fY
蘾	fYy
还	fYz
怀	fYY
蘹	fYYy
环	fY3
舌	fL
烦	fLx
硕	fLs
页	fLH
嚣	fL4o
项	fLi
咸	f6
峘	f6w
桓	f6c
洹	f6E
恒	f6Y
反	f2
帆	f2p
矾	f2s
凡	f2H
钒	f2N
凢	f2d
梵	f2c
汎	f2E
忛	f2Y
方	fT
晄	fTb
恍	fTY
分	f8
幩	f8p
燌	f8x
蕡	f8y
墳	f8d
羵	f8g
粪	f8h
獖	f8v
橨	f8c
膹	f8e
濆	f8E
愤	f8Y
僨	f8V
风	f3
幇	f3p
崶	f3w
葑	f3y
封	f3H
堼	f3d
非	fV
昲	fVb
曊	fVbx
费	fVx
疿	fVt
狒	fVv
沸	fVE
化	fia
磆	fias
猾	fiav
滑	fiaE
户	fio
喖	fioc
祜	fiou
怙	fioY
禾	fie
岁	fieH
秽	fieh
哕	fieo
胡	fiA
瓠	fiAj
弧	fiAl
狐	fiAv
翰	fiY
阚	fiYm
憨	fiYF
㘎	fiYo
瞰	fiYT
撖	fiY8
升	fiL
颢	fiLH
灏	fiLE
患	fi6
欢	fi6r
歡	fi6r
獾	fi6v
嚾	fi6o
孉	fi6A
番	fi2
鬟	fi2j
镮	fi2N
寰	fi2f
缳	fi2a
嬛	fi2A
懁	fi2Y
擐	fi28
攌	fi28m
環	fi23
皇	fiT
幌	fiTp
熀	fiTx
晃	fiTH
榥	fiTc
縨	fiTa
滉	fiTE
愰	fiTY
昏	fi8
尡	fi8b
混	fi8E
婫	fi8A
馄	fi8L
掍	fi88
倱	fi8V
奉	fi3
峰	fi3w
峯	fi3wH
烽	fi3x
逢	fi3z
夆	fi3H
锋	fi3N
埄	fi3d
蜂	fi3k
缝	fi3a
回	fiV
彗	fiVH
慧	fiVF
鮰	fiVB
嘒	fiVo
嚖	fiVoF
褩	ub2
被	ubio
裱	ubiL
褊	ubi2
褙	ubiV
襻	upi6
袤	umiY
紊	uwi8
祎	uwiV
襟	uju3
袈	uja
裾	ujA
裥	uj2
祺	uqE
綦	uqE
褀	uqEH
祛	uqA
裘	uq6
襁	uqT
祝	uxu3
袅	unuL
褶	uzue
祽	uzuV
衷	uz3
襊	uzV
褿	uDL
祱	usuV
神	us8
褥	urua
衽	uru8
衵	urE
絮	urA
裡	uHlE
祉	uHu6
禛	uHu8
祠	uHo
祴	uN2
初	ul
裏	ulE
禄	ulA
裂	ulie
累	uliV
社	ud
袳	udo
褅	udE
袋	udY
初	udL
裆	udT
袛	udiT
社	utA
祻	uga
禞	ugL
裹	ugio
祰	ugiL
裤	ukA
褃	uk8
繁	uhu2
褐	uhe
裄	uhT
祀	u4uV
袱	u46
禧	u5o
襶	uFiY
褪	u7V
祐	u7i6
裎	uB8
褂	uBia
祯	uci8
祊	ufT
祁	u1
绑	abT
絔	abiY
编	abi2
绊	abiT
缤	abi8
缥	apiL
彯	apiLH
绵	ame
缦	am2
纹	awi8
纬	awiV
绛	ajuT
绞	ajL
缐	aquo
缱	aque
辔	aqoa
纤	aq2
绣	axu6
像	axuT
绚	axu8
縼	axuV
绡	axL
缃	axT
纭	ayu8
纡	ayA
缌	anua
繜	azu8
织	azE
缀	aDuo
彩	aDuY
縒	aDo
绌	aDA
絾	aD8
绝	asue
绅	as8
缛	arua
紝	aru8
纫	ar8
缜	aHu8
缨	aHu3
絘	aHuV
级	aNa
纪	aNia
绮	aNi6
影	aNi8
绿	alA
缔	adE
终	adi3
彤	ate
绨	atE
缘	atV
绥	atio
绦	atiL
缟	agL
绀	ag2
纲	agT
红	ag3
绠	agi8
紸	aka
彡	ak2
缩	akiV
絯	ahY
绗	ahT
紘	ah3
彪	ahiL
绘	ahiV
绺	a4u6
缢	a5iY
缆	av2
纶	av8
缡	aviV
缎	aF2
経	aBY
绾	aBi2
绔	aca
縤	aci6
缮	aci2
纺	afT
纷	af8
绯	afV
繙	afi2
吧	oba
哱	obo
吡	obE
吥	obA
咇	ob6
咘	ob3
啵	obio
噼	opa
呸	opE
嚗	opL
乓	OpT
嗙	opT
嘭	op8
哌	opiY
嘌	opiL
响	opiT
乒	Opi8
呯	opi8
吗	oma
嗼	omo
咪	omE
哞	om6
嘛	omia
喵	omiL
鸣	omi8
呡	omi8
咩	omi1
咓	owa
呜	owA
喂	owL
吻	ow8
嗡	ow3
噬	owia
喔	owio
喟	owie
味	owiL
唔	owi6
噘	ojue
叴	oju6
噤	oju3
吤	oje
叽	ojE
啹	ojA
啓	oqua
啾	oqu6
嗴	oquT
吠	oquV
唊	oqa
呿	oqA
啨	oq8
唝	oxg3
哮	oxuL
唀	oxu6
喧	oxu2
咰	oxu8
咒	oxu3
呪	oxu3
吓	oxa
唏	oxE
嘘	oxA
咻	ox6
啣	oxV
囌	oyco
萂	oyfie
哑	oyua
啞	oyua
咬	oyuL
呀	oya
吁	oyA
喓	oyL
吖	oyia
喼	onuo
吽	onu6
唸	onu2
嘶	onuT
哪	ona
嗫	one
呢	onE
嚘	on6
喃	on2
囔	onT
咛	on8
哝	on3
唑	ozuo
哲	ozue
咤	ozuY
啭	ozu2
噂	ozu8
噿	ozuV
咋	oza
啅	ozo
啧	oze
呮	ozE
喌	oz6
啜	oDuo
唓	oDue
啋	oDuY
嘲	oDuL
嚓	oDa
嘈	oDL
嘇	oD2
唱	oDT
唾	oDV
嗖	os6
嗓	osT
呻	os8
嗕	orua
嘢	oruY
啁	oru6
嘫	oru2
嗏	ora
咗	oro
咡	ore
啮	orY
呺	orL
呥	or2
吱	oHua
叶	oHuo
嗞	oHuY
噡	oHu2
嗔	oHu8
嘤	oHu3
呞	oHo
吇	oHL
呲	oHV
呰	oHV
咭	oNo
唉	oNY
嚍	oN3
噎	oNV
嚼	oNie
唧	oNiY
咹	oNi2
噚	oNi8
哅	olx3
售	ola
旯	olaj
啰	olo
哩	olE
喱	olE
唻	olY
咾	olL
喽	ol6
啷	olT
咙	ol3
喺	olia
悋	olio
咧	olie
嗹	oli2
命	oli8
呤	oli8
哆	odo
叨	odL
呾	od2
噹	odT
噔	od8
嚁	od1
唙	odis
哒	odia
哚	odio
嗲	odie
叼	odiL
呧	odiT
叮	odi8
咚	odi3
吐	otA
嘡	otT
哃	ot3
喙	otV
呔	otiY
吞	oti2
旮	oga
嗰	oga
啯	ogo
咕	ogA
嘅	ogY
咁	og2
哏	og8
噶	og1
咯	ogie
嗗	ogiA
呴	ogi6
哽	ogi8
廤	okA
啃	ok8
啌	ok3
呵	okie
吙	oho
喝	ohe
嘿	ohE
咳	ohY
嚎	ohL
哼	oh8
咴	ohV
呼	ohiA
嗐	ohiY
唬	ohiL
喉	ohi6
唅	ohi2
唛	o4uY
吆	o4uL
啊	o4a
呃	o4e
呓	o4E
哎	o4Y
嗯	o48
呋	o4ia
咈	o4iL
啽	o4i2
咐	o4i3
嘻	o5o
噫	o5L
吣	o53
唽	o5io
嗌	o5iY
嘞	ove
嚟	ovL
嚠	ov6
吮	ov3
唎	ovV
呖	ovi6
唡	oviT
咏	ovi3
囄	oviV
嘄	oFL
嗪	oFi3
喻	o7o
嚏	o7E
呦	o76
嘾	o72
喑	o73
唁	o7iY
唹	o7iL
唷	o7iT
呱	oBa
哫	oB6
咣	oBT
啩	oBia
唇	oBi8
咵	oca
哙	ocY
哐	ocT
喹	ocV
嗾	ocia
书	ociY
嗉	oci6
嗦	oflia
哗	ofa
唤	ofY
喊	of6
吩	of8
啡	ofV
吪	ofia
和	ofie
咊	ofieH
噃	ofi2
唪	ofi3
骂	ooma
哭	ooquV
啙	ooHV
啝	oofie
唞	o8d6
脖	ebo
臂	ebi6
膑	ebi8
背	ebiV
胚	epE
簲	epY
膰	ep2
膀	epT
膨	ep8
脈	epiY
膜	emo
脒	emE
朦	em3
腛	ewio
腕	ewi2
腱	ejuY
腃	eju2
肌	ejE
胶	ejL
腺	equo
期	eqE
膤	exue
胁	exY
腥	ex8
胷	ex3
羘	eyuT
腋	eye
腰	eyL
腌	ey2
胹	enuY
脲	enL
腩	en2
脓	en3
䏝	ezu2
脏	ezuT
胀	ezT
肿	ez3
腄	eDV
胜	esu3
脱	esuV
脎	esa
膄	es6
胂	es8
膶	eruV
肢	eHua
脂	eHuL
膺	eH3
脐	eNL
肼	eN8
胺	eNi2
胸	elx3
胧	el3
胆	ed2
膯	ed8
胨	ed3
脰	edi6
胎	etY
膛	etT
脮	etio
肽	etiY
腘	ego
胳	ege
朕	egE
膏	egL
肝	egi2
腔	ek3
腹	ekiY
肸	ehuE
胲	ehY
脝	eh8
肱	eh3
腭	e4o
腻	e42
肤	e4ia
腑	e4io
脬	e4iT
臆	e5L
胪	eva
脷	evV
臀	eFie
脚	eFiV
脦	e7e
腿	e7V
胍	eBa
胱	eBT
胯	eca
脍	ecY
臗	ec2
膳	eci2
肪	efT
朌	ef8
腓	efV
膰	efi2
囘	efiV
氵巴	Eba
浡	Ebo
泌	Eb6
波	Ebio
滨	Ebi8
瀑	EpL
潘	Ep2
滂	EpT
澎	Ep8
泼	Epio
沜	Epie
漂	EpiL
濒	Epi3
酒	EpiV
漠	Emo
淿	Eme
彝	EmE
洣	EmE
洠	Em6
漫	Em2
漭	EmT
濛	Em3
沫	Emio
沔	Emie
沐	EmiA
渵	EmiL
泖	EmiT
泯	Emi8
湄	EmiV
沩	EwE
潕	Ew6
汪	EwT
滃	Ew3
渥	Ewio
渭	Ewie
浯	Ewi6
涴	Ewi2
汶	Ewi8
氿	Eju6
汣	Ej6
涧	Ej2
湶	Equo
湫	Equ6
溬	EquT
浃	Eqa
沏	Eqe
淇	EqE
淁	EqY
浗	Eq6
清	Eq8
泬	ExuY
渲	Exu2
潒	ExuT
洵	Exu8
况	Exu3
漩	ExuV
泻	Exo
澥	Exe
浠	ExE
消	ExL
冼	Ex2
洗	Ex2E
湘	ExT
汹	Ex3
萍	Eypi8
淓	EyfT
藩	Eyfi2
沅	Eyuo
潸	Eyue
浇	EyuL
油	Eyu6
源	Eyu2
洋	EyuT
沄	Eyu8
涌	Eyu3
冴	Eya
滟	Eyo
液	Eye
涎	EyY
淹	Ey2
泱	EyT
洇	Ey8
淰	Enu2
澌	EnuT
凘	EnuTE
浉	EnuV
泄	Eno
泥	EnE
汝	EnA
湳	En2
泞	En8
浓	En3
浙	Ezue
濢	EzuVn
淖	Ezo
渍	Eze
洙	EzA
沼	EzL
洲	Ez6
沾	Ez2
涰	EDuo
潮	EDuL
沧	EDuT
湷	EDu8
凗	EDuV
测	EDe
池	EDE
漕	EDL
渗	ED2
涮	Esua
潵	Esua
溯	Esuo
灀	EsuT
泩	Esu3
涚	EsuV
湜	EsE
沭	EsA
溲	Es6
汕	Es2
溽	Erua
溺	Eruo
润	EruV
洱	Ere
汨	ErE
洳	ErA
渘	Er6
溶	Er3
汭	ErV
凐	EHy8
洌	EHlie
汁	EHuo
滋	EHuY
沚	EHu6
泀	EHo
泗	EHe
淔	EH6
泚	EHV
汲	ENa
凝	ENE
泃	ENA
涘	ENY
汽	EN6
汫	EN8
灂	ENie
凄	ENiL
洝	ENi2
渤	Elbo
洶	Elx3
湧	Elyu3
涨	ElzT
淮	Ela
渌	ElA
涞	ElY
溇	El6
凛	El8
泷	El3
冽	Elie
滤	EliA
濑	EliY
溜	Eli6
涟	Eli2
泠	Eli8
埿	EdnE
汏	Eda
渡	EdA
澄	Ed8
冻	Ed3
濯	Ed1
㳠	Edia
滞	EdiY
汈	EdiL
浢	Edi6
滇	Edi2
涾	Eta
泝	Eto
浵	Ete
涕	EtE
汢	EtA
治	EtY
滔	EtL
滩	Et2
灘	Et2H
漟	EtT
渟	Et8
洎	Et1
潜	Etia
沺	Etie
汰	EtiY
涤	EtiL
添	Eti2
溏	EtiT
潼	Eti3
涸	Ega
凅	Ega
滒	Ege
沽	EgA
溉	EgY
沟	Eg6
泔	Eg2
港	EgiT
浭	Egi8
注	Eka
洘	EkL
氵	Ek2
涳	Ek3
涉	Ekia
蠲	EkiA
滗	EkiL
滱	Eki6
湛	Eki2
漮	EkiT
汔	Ehu6
浌	Eha
渴	Ehe
潶	EhE
濠	EhL
洉	Eh6
涥	Eh8
洃	EhV
湱	Eh1
泛	Ehia
滹	EhiA
淲	EhiL
浛	Ehi2
泓	Ehi3
浍	EhiV
染	E4ua
汜	E4uV
澳	E4L
洑	E46
浮	E4iT
洒	E5a
沁	E53
汐	E5ia
淅	E5io
溢	E5iY
溪	E5i6
浔	E5i8
泸	Eva
潞	Evo
浏	Ev6
沦	Ev8
漉	Evio
溧	EviL
沥	Evi6
濂	Evi2
泳	Evi3
漓	EviV
溆	EFa
浀	EFE
泅	EF6
潡	EF8
浒	EFia
澱	EFie
瀻	EFiY
瀙	EFi8
溱	EFi3
渝	E7o
泑	E76
潭	E72
渔	E7T
淤	E7iL
淯	E7iT
洸	EBT
滁	EBio
潺	EBie
潻	Eco
澮	EcY
淑	EcL
潚	Ec6
洭	EcT
溗	Ec3
潥	Ecio
津	EciY
